"CPT","unit_type","total_units","UM Desc"
"J0401","Item        ",58500,NA
"J1631","Item        ",1653,NA
"J2315","Item        ",2280,NA
"J2426","Item        ",82797,"Injection"
"J2680","Item        ",387,"Injection"
"J2794","Item        ",36100,NA
"M0064","Encounter   ",1,"Med Review"
"S0280","Encounter   ",432,NA
"S0281","Encounter   ",4692,NA
"S5108","15 Minutes  ",2959,NA
"S5110",NA,NA,"Fam. Skills Workshop"
"S5111","Encounter   ",480,"Fam. Training | Home HSW/Children"
"S5116","Encounter   ",19,NA
"S5151",NA,NA,"Respite"
"S5160","Encounter   ",1,NA
"S5161","Month       ",197,NA
"S5165","Item        ",4,"Environment Mod"
"S5199","Item        ",9,NA
"S8990",NA,NA,"OT/PT Ongoing"
"S9445","Encounter   ",4,"Health Services | Ed. Ind."
"S9446","Encounter   ",2440,"Health Services | Ed. Group"
"S9470","Encounter   ",139,NA
"S9482","15 Minutes  ",2556,NA
"T1000","15 Minutes  ",8432,NA
"T1001","Encounter   ",1918,"Assessment-RN"
"T1002","Up to 15 min",8687,"Health | RN Services"
"T1005","Up to 15 min",178814,"Respite | 15Min"
"T1016","15 Minutes  ",18322,"Supports Coordination"
"T1017","15 Minutes  ",38433,"TCM"
"T1020","Day         ",49854,"Residential"
"T1023","Encounter   ",1029,"Assessment | Inpatient Hosp."
"T1999","Item        ",6,"Enhanced Pharmacy"
"T2015","Hour        ",16798,"Out-of-Home Prevocational Service"
"T2023","Encounter   ",366,"TCM | DD"
"T2025","Month       ",1826,"Fiscal Services"
"T2028","Item        ",6,NA
"T2029","Item        ",7,"Supplies"
"T2034",NA,NA,"Crisis Intervention"
"T2036",NA,NA,"Therapeutic Camping: Child"
"T2037","Encounter   ",3,"Therapeutic Camping"
"T2038","Encounter   ",799,"Home Modification | Children/Housing Assistance"
"T5999",NA,NA,"Goods and Services"
